id,group,redbook_vol,bg_name,taxon,redbook_status,wp_exists,wp_url,wikidata_qid,redbook_url,rb_bg_name,rb_taxon,wd_bg_name,wd_taxon,content_status,wd_linked,notes
684,plants_fungi,vol1,Шпицелов салеп,Orchis spitzelii,CR,no,,Q1314779,http://e-ecodb.bas.bg/rdb/bg/vol1/Orcspitz.html,Шпицелов салеп,Orchis spitzelii,шпитцелов салеп,Orchis spitzelii,todo,,
685,plants_fungi,vol1,Шпрунерова каменоломка,Saxifraga spruneri,EN,no,,Q15608537,http://e-ecodb.bas.bg/rdb/bg/vol1/Saxsprun.html,Шпрунерова каменоломка,Saxifraga spruneri,шпрунерова каменоломка,Saxifraga spruneri,todo,,
686,plants_fungi,vol1,Щитолистни какички,Nymphoides peltata,EN,yes,https://bg.wikipedia.org/wiki/Щитолистни_какички,Q159743,http://e-ecodb.bas.bg/rdb/bg/vol1/Nympelta.html,Щитолистни какички,Nymphoides peltata,щитолистни какички,Nymphoides peltata,todo,,
687,plants_fungi,vol1,Ъглолистна малколмия,Malcolmia orsiniana subsp. angulifolia,EN,no,,Q133279808,http://e-ecodb.bas.bg/rdb/bg/vol1/Malorsin.html,Ъглолистна малколмия,Malcolmia orsiniana subsp. angulifolia,,Malcolmia orsiniana subsp. angulifolia,todo,,
688,plants_fungi,vol1,Южна леща,Lens ervoides,EN,no,,Q1704311,http://e-ecodb.bas.bg/rdb/bg/vol1/Lenervoi.html,Южна леща,Lens ervoides,южна леща,Lens ervoides,todo,,
689,plants_fungi,vol1,Южна мехурка,Utricularia australis,CR,yes,https://bg.wikipedia.org/wiki/Южна_мехурка,Q161460,http://e-ecodb.bas.bg/rdb/bg/vol1/Utraustr.html,Южна мехурка,Utricularia australis,южна мехурка,Utricularia australis,todo,,
690,plants_fungi,vol1,Южна микромерия,Micromeria juliana,EN,no,,Q15342450,http://e-ecodb.bas.bg/rdb/bg/vol1/Micjulia.html,Южна микромерия,Micromeria juliana,нежна микромерия,Micromeria juliana,todo,,
691,plants_fungi,vol1,Юмрукчалско шапиче,Alchemilla jumrukczalica,CR,no,,Q15288813,http://e-ecodb.bas.bg/rdb/bg/vol1/Alcjumru.html,Юмрукчалско шапиче,Alchemilla jumrukczalica,юмрукчалско шапиче,Alchemilla jumrukczalica,todo,,
692,plants_fungi,vol1,Юрушки лопен,Verbascum juruk,CR,yes,https://bg.wikipedia.org/wiki/Юрушки_лопен,Q20500873,http://e-ecodb.bas.bg/rdb/bg/vol1/Verjuruk.html,Юрушки лопен,Verbascum juruk,юрушки лопен,Verbascum juruk,todo,,
693,plants_fungi,vol1,Яворкова клопачка,Rhinanthus javorkae,EN,no,,Q17715463,http://e-ecodb.bas.bg/rdb/bg/vol1/Rhijavor.html,Яворкова клопачка,Rhinanthus javorkae,яворкова клопачка,Rhinanthus javorkae,todo,,
694,plants_fungi,vol1,Яйцевидна мухоморка,Amanita ovoidea,CR,no,,Q1281074,http://e-ecodb.bas.bg/rdb/bg/vol1/Amaovoid.html,Яйцевидна мухоморка,Amanita ovoidea,Яйцевидна мухоморка,Amanita ovoidea,todo,,
695,plants_fungi,vol1,Ямболски мразовец,Colchicum diampolis,CR,no,,Q29107372,http://e-ecodb.bas.bg/rdb/bg/vol1/Coldiamp.html,Ямболски мразовец,Colchicum diampolis,ямболски мразовец,Colchicum diampolis,todo,,
696,plants_fungi,vol1,Янкиев лопен,Verbascum jankaeanum,CR,yes,https://bg.wikipedia.org/wiki/Янкиев_лопен,Q17746677,http://e-ecodb.bas.bg/rdb/bg/vol1/Verjanka.html,Янкиев лопен,Verbascum jankaeanum,янкиев лопен,Verbascum jankaeanum,todo,,
697,plants_fungi,vol1,Янкиева кутявка,Moehringia jankae,EN,no,,Q15572662,http://e-ecodb.bas.bg/rdb/bg/vol1/Moejanka.html,Янкиева кутявка,Moehringia jankae,янкиева кутявка,Moehringia jankae,todo,,
698,plants_fungi,vol1,Янкиева метличина,Centaurea jankae,EN,no,,Q15567662,http://e-ecodb.bas.bg/rdb/bg/vol1/Cenjanka.html,Янкиева метличина,Centaurea jankae,янкиева метличина,Centaurea jankae,todo,,
699,plants_fungi,vol1,Яркожълта люспеница,Pholiota lucifera,EN,no,,Q10434724,http://e-ecodb.bas.bg/rdb/bg/vol1/Pholucif.html,Яркожълта люспеница,Pholiota lucifera,Pholiota lucifera,Pholiota lucifera,todo,,
