id,group,redbook_vol,bg_name,taxon,redbook_status,wp_exists,wp_url,wikidata_qid,redbook_url,rb_bg_name,rb_taxon,wd_bg_name,wd_taxon,wd_rb_taxon_match,content_status,wd_linked,notes
856,animals,vol2,Голяма бяла чапла,Egretta alba,CR,yes,https://bg.wikipedia.org/wiki/Голяма_бяла_чапла,Q130730,http://e-ecodb.bas.bg/rdb/bg/vol2/Egalba.html,Голяма бяла чапла,Egretta alba,голяма бяла чапла,Ardea alba,no,todo,,
869,animals,vol2,Гривеста рибарка,Sterna sandvicensis,EN,yes,https://bg.wikipedia.org/wiki/Гривеста_рибарка,Q27547,http://e-ecodb.bas.bg/rdb/bg/vol2/Stsandvi.html,Гривеста рибарка,Sterna sandvicensis,Гривеста рибарка,Thalasseus sandvicensis,no,todo,,
876,animals,vol2,Дебелоклюна рибарка,Sterna nilotica,CR,yes,https://bg.wikipedia.org/wiki/Дебелоклюна_рибарка,Q18834,http://e-ecodb.bas.bg/rdb/bg/vol2/Stniloti.html,Дебелоклюна рибарка,Sterna nilotica,дебелоклюна рибарка,Gelochelidon nilotica,no,todo,,
935,animals,vol2,Малка пъструшка,Porzana pusilla,CR,yes,https://bg.wikipedia.org/wiki/Малка_пъструшка,Q237670,http://e-ecodb.bas.bg/rdb/bg/vol2/Popusill.html,Малка пъструшка,Porzana pusilla,малка пъструшка,Zapornia pusilla,no,todo,,
936,animals,vol2,Малка черноглава чайка,Larus melanocephalus,VU,yes,https://bg.wikipedia.org/wiki/Малка_черноглава_чайка,Q276189,http://e-ecodb.bas.bg/rdb/bg/vol2/Lamelano.html,Малка черноглава чайка,Larus melanocephalus,малка черноглава чайка,Ichthyaetus melanocephalus,no,todo,,
942,animals,vol2,Малък корморан,Phalacrocorax pygmeus,EN,yes,https://bg.wikipedia.org/wiki/Малък_корморан,Q244319,http://e-ecodb.bas.bg/rdb/bg/vol2/Phpygmeu.html,Малък корморан,Phalacrocorax pygmeus,малък корморан,Microcarbo pygmaeus,no,todo,,
943,animals,vol2,Малък креслив орел,Aquila pomarina,VU,yes,https://bg.wikipedia.org/wiki/Малък_креслив_орел,Q232523,http://e-ecodb.bas.bg/rdb/bg/vol2/Aqpomari.html,Малък креслив орел,Aquila pomarina,малък креслив орел,Clanga pomarina,no,todo,,
950,animals,vol2,Медведев сив скакалец,Platycleis medvedevi,CR,no,,,http://e-ecodb.bas.bg/rdb/bg/vol2/Plmedved.html,Медведев сив скакалец,Platycleis medvedevi,,,,todo,,WD: no candidate
951,animals,vol2,Меланопсис,Melanopsis parreyssi,CR,yes,https://bg.wikipedia.org/wiki/Меланопсис,Q14642300,http://e-ecodb.bas.bg/rdb/bg/vol2/Meparrey.html,Меланопсис,Melanopsis parreyssi,меланопсис,Melanopsis parreyssii,no,todo,,
962,animals,vol2,Никаринус,Nicarinus poecilopterus,CR,no,,,http://e-ecodb.bas.bg/rdb/bg/vol2/Nipoecil.html,Никаринус,Nicarinus poecilopterus,,,,todo,,WD: no candidate
997,animals,vol2,Речна чайка,Larus ridibundus,EN,yes,https://bg.wikipedia.org/wiki/Речна_чайка,Q25634,http://e-ecodb.bas.bg/rdb/bg/vol2/Laridibu.html,Речна чайка,Larus ridibundus,речна чайка,Chroicocephalus ridibundus,no,todo,,
1003,animals,vol2,Руска есетра,Acipenser gueldenstaedti,CR,yes,https://bg.wikipedia.org/wiki/Руска_есетра,Q747645,http://e-ecodb.bas.bg/rdb/bg/vol2/Acguelde.html,Руска есетра,Acipenser gueldenstaedti,руска есетра,Acipenser gueldenstaedtii,no,todo,,
1018,animals,vol2,Сирман,Neogobius syrman,EX,yes,https://bg.wikipedia.org/wiki/Сирман,Q1193865,http://e-ecodb.bas.bg/rdb/bg/vol2/Nesyrman.html,Сирман,Neogobius syrman,сирман,Ponticola syrman,no,todo,,
1030,animals,vol2,Средна пъструшка,Porzana parva,EN,yes,https://bg.wikipedia.org/wiki/Средна_пъструшка,Q270680,http://e-ecodb.bas.bg/rdb/bg/vol2/Poparva.html,Средна пъструшка,Porzana parva,средна пъструшка,Zapornia parva,no,todo,,
1033,animals,vol2,Степен пор,Mustela eversmanni,VU,yes,https://bg.wikipedia.org/wiki/Степен_пор,Q732127,http://e-ecodb.bas.bg/rdb/bg/vol2/Mueversm.html,Степен пор,Mustela eversmanni,степен пор,Mustela eversmanii,no,todo,,
1039,animals,vol2,Струмски гулеш,Barbatula bureschi,VU,yes,https://bg.wikipedia.org/wiki/Струмски_гулеш,Q210002,http://e-ecodb.bas.bg/rdb/bg/vol2/Baburesc.html,Струмски гулеш,Barbatula bureschi,струмски гулеш,Oxynoemacheilus bureschi,no,todo,,
1041,animals,vol2,Тетрев,Tetrao tetrix,EX,yes,https://bg.wikipedia.org/wiki/Тетрев,Q155878,http://e-ecodb.bas.bg/rdb/bg/vol2/Tetetrix.html,Тетрев,Tetrao tetrix,тетрев,Lyrurus tetrix,no,todo,,
1063,animals,vol2,Хауфения,Hauffenia lucidula,CR,no,,Q5485598,http://e-ecodb.bas.bg/rdb/bg/vol2/Halucidu.html,Хауфения,Hauffenia lucidula,хауфения,Hauffenia lucidulus,no,todo,,
1084,animals,vol2,Черноморски калкан,Psetta maxima,EN,yes,https://bg.wikipedia.org/wiki/Черноморски_калкан,Q217329,http://e-ecodb.bas.bg/rdb/bg/vol2/Psmaxima.html,Черноморски калкан,Psetta maxima,калкан,Scophthalmus maximus,no,todo,,
1095,animals,vol2,Ястребов орел,Hieraaetus fasciatus,CR,yes,https://bg.wikipedia.org/wiki/Ястребов_орел,Q234722,http://e-ecodb.bas.bg/rdb/bg/vol2/Hifascia.html,Ястребов орел,Hieraaetus fasciatus,ястребов орел,Aquila fasciata,no,todo,,
