Q1757951	P14254	Q219127	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Claarche.html"	S813	+2026-06-25T00:00:00Z/11
Q29108052	P14254	Q219127	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Merattic.html"	S813	+2026-06-25T00:00:00Z/11
Q25352673	P14254	Q96377276	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Cyaachta.html"	S813	+2026-06-25T00:00:00Z/11
Q15288450	P14254	Q96377276	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Alcachta.html"	S813	+2026-06-25T00:00:00Z/11
Q886411	P14254	Q96377276	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Hypandro.html"	S813	+2026-06-25T00:00:00Z/11
Q15427978	P14254	Q278113	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Hestheop.html"	S813	+2026-06-25T00:00:00Z/11
Q20721810	P14254	Q96377276	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Bethauss.html"	S813	+2026-06-25T00:00:00Z/11
Q18081461	P14254	Q219127	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Hapbalca.html"	S813	+2026-06-25T00:00:00Z/11
Q15369931	P14254	Q96377276	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Delbalca.html"	S813	+2026-06-25T00:00:00Z/11
Q9595718	P14254	Q96377276	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Alccatac.html"	S813	+2026-06-25T00:00:00Z/11
Q4107984	P14254	Q219127	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Verbaumg.html"	S813	+2026-06-25T00:00:00Z/11
Q5920308	P14254	Q219127	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Iriaphyl.html"	S813	+2026-06-25T00:00:00Z/11
Q163785	P14254	Q219127	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Genacaul.html"	S813	+2026-06-25T00:00:00Z/11
Q2161918	P14254	Q219127	P1001	Q219	P3680	Q12299068	S248	Q12299068	S854	"http://e-ecodb.bas.bg/rdb/bg/vol1/Astexsca.html"	S813	+2026-06-25T00:00:00Z/11
